<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,D,20080919,000000,11027.51,11415.48,11027.51,11388.44,9387169600,0
^DJI,D,20080922,000000,11394.42,11450.81,10956.43,11015.69,5368130000,0
^DJI,D,20080923,000000,11015.69,11214.65,10763.77,10854.17,5185730000,0
^DJI,D,20080924,000000,10850.02,11041.02,10696.38,10825.17,4820360000,0
^DJI,D,20080925,000000,10827.17,11206.05,10799.77,11022.06,5877640000,0
^DJI,D,20080926,000000,11019.04,11218.48,10781.37,11143.13,5383610000,0
^DJI,D,20080929,000000,11139.62,11139.62,10266.76,10365.45,7305060000,0
^DJI,D,20080930,000000,10371.58,10922.03,10371.58,10850.66,6065000000,0
^DJI,D,20081001,000000,10847.40,11022.06,10495.99,10831.07,5782130000,0
^DJI,D,20081002,000000,10825.54,10843.10,10368.08,10482.85,6285640000,0
^DJI,D,20081003,000000,10483.96,10844.69,10261.75,10325.38,6716120000,0
^DJI,D,20081006,000000,10322.52,10322.52,9503.10,9955.50,7956020000,0
^DJI,D,20081007,000000,9955.42,10205.04,9391.67,9447.11,7069209600,0
^DJI,D,20081008,000000,9437.23,9778.04,9042.97,9258.10,8716329600,0
^DJI,D,20081009,000000,9261.69,9522.77,8523.27,8579.19,8285670400,0
^DJI,D,20081010,000000,8568.67,8989.13,7773.71,8451.19,11456230400,0
^DJI,D,20081013,000000,8462.42,9501.91,8462.42,9387.61,7263369600,0
^DJI,D,20081014,000000,9388.97,9924.28,9050.06,9310.99,8161990400,0
^DJI,D,20081015,000000,9301.91,9301.91,8516.50,8577.91,6542330000,0
^DJI,D,20081016,000000,8577.04,9073.64,8176.17,8979.26,7984500000,0
^DJI,D,20081017,000000,8975.35,9304.38,8640.83,8852.22,6581780000,0
^DJI,D,20081020,000000,8852.30,9305.89,8799.49,9265.43,5175640000,0
^DJI,D,20081021,000000,9179.11,9293.07,9017.30,9045.21,5121830000,0
^DJI,D,20081022,000000,9027.84,9027.84,8324.07,8519.21,6147980000,0
^DJI,D,20081023,000000,8519.77,8864.48,8200.06,8691.25,7184180000,0
^DJI,D,20081024,000000,8683.21,8683.21,8088.63,8378.95,6550050000,0
^DJI,D,20081027,000000,8375.92,8639.64,8085.37,8175.77,5558050000,0
^DJI,D,20081028,000000,8178.72,9112.51,8153.79,9065.12,7096950400,0
^DJI,D,20081029,000000,9062.33,9405.05,8800.61,8990.96,7077800000,0
^DJI,D,20081030,000000,9004.66,9380.36,8916.81,9180.69,6175830000,0
^DJI,D,20081031,000000,9198.73,9465.89,9133.65,9336.93,6394350000,0
^DJI,D,20081103,000000,9326.04,9488.92,9175.03,9319.83,4492280000,0
^DJI,D,20081104,000000,9323.89,9711.46,9323.89,9625.28,5531290000,0
^DJI,D,20081105,000000,9616.60,9628.15,9086.06,9139.27,5426640000,0
^DJI,D,20081106,000000,9134.01,9216.37,8607.14,8695.79,6102230000,0
^DJI,D,20081107,000000,8696.03,9032.54,8661.22,8943.81,4931640000,0
^DJI,D,20081110,000000,8946.60,9212.94,8735.61,8870.54,4572000000,0
^DJI,D,20081111,000000,8864.32,8892.20,8499.62,8693.96,4998340000,0
^DJI,D,20081112,000000,8684.52,8684.52,8235.66,8282.66,5764180000,0
^DJI,D,20081113,000000,8281.14,8898.41,7947.74,8835.25,7849120000,0
^DJI,D,20081114,000000,8822.19,8980.93,8421.08,8497.31,5881030000,0
^DJI,D,20081117,000000,8494.84,8596.31,8197.12,8273.58,4927490000,0
^DJI,D,20081118,000000,8273.34,8540.08,8075.81,8424.75,6069470000,0
^DJI,D,20081119,000000,8420.69,8534.34,7967.33,7997.28,6548600000,0
^DJI,D,20081120,000000,7995.53,8224.35,7464.51,7552.29,9093740000,0
^DJI,D,20081121,000000,7552.37,8121.45,7392.27,8046.42,9495900000,0
^DJI,D,20081124,000000,8048.09,8624.27,8023.32,8443.39,7879440000,0
^DJI,D,20081125,000000,8445.14,8682.09,8244.43,8479.47,6952700000,0
^DJI,D,20081126,000000,8464.49,8760.46,8250.80,8726.61,5793260000,0
^DJI,D,20081128,000000,8690.24,8840.33,8687.05,8829.04,2740860000,0
